TID,Date,product1, product2,product3,product4,product5,product6
114,4/25/2022,dishes,citrus fruit,bottled water,coffee,frankfurter,frankfurter
115,4/26/2022, fruit,bottled water,dishes,coffee,whole milk,whole milk
116,4/27/2022,coffee,yogurt,bottled water, fruit,frozen potato products,frozen potato products
117,4/28/2022,coffee,yogurt,bottled water,dishes,other vegetables,other vegetables
118,4/29/2022,dishes,yogurt,bottled water,coffee,citrus fruit,citrus fruit
119,4/30/2022,bottled water,bottled water,dishes,coffee,margarine,frankfurter
120,5/1/2022,dishes,yogurt,bottled water, fruit,dishes,whole milk
121,5/2/2022,bottled water,yogurt,bottled water,dishes, fruit,frozen potato products
122,5/3/2022,bottled water,yogurt,bottled water, fruit,frankfurter,other vegetables
123,5/4/2022,coffee,bottled water,dishes,coffee,whole milk,citrus fruit
124,5/5/2022,coffee,yogurt,bottled water,coffee,frozen potato products,flour
125,5/6/2022, fruit,yogurt,bottled water,dishes,other vegetables,sugar
126,5/7/2022,dishes,frankfurter, fruit,bottled water,citrus fruit,frozen meals
127,5/8/2022, fruit,whole milk,bottled water,dishes,coffee,chocolate
128,5/9/2022,coffee,frozen potato products,yogurt,bottled water,coffee,root vegetables
129,5/10/2022,coffee,other vegetables, fruit,bottled water,dishes,root vegetables
130,5/11/2022,dishes,citrus fruit,bottled water,coffee,,herbs
131,5/12/2022,bottled water,flour,dishes,coffee,margarine,bottled water
132,5/13/2022,dishes,sugar,bottled water, fruit,dishes,sausage
133,,bottled water,frozen meals,bottled water,dishes, fruit,coffee
